UserID,Age,Gender,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType
510,60,Other,98928,True,True,Labor/Worker,Rural,TikTok,238,10,1987,Pranks,29,4313,9,16,15,21,Night,2,8,Procrastination,Smartphone,MacOS,23:30:00,4,6,At work,Mobile Data
511,61,Female,48669,False,True,Labor/Worker,Rural,TikTok,91,10,9194,Jokes/Memes,15,2218,6,17,36,62,Night,2,8,Habit,Smartphone,Android,23:30:00,4,6,Commuting,Mobile Data
512,46,Male,22282,False,False,Students,Urban,TikTok,153,11,6328,Gaming,23,1152,3,7,28,97,Afternoon,6,4,Boredom,Smartphone,Android,19:25:00,8,2,At school,Wi-Fi
515,48,Other,87534,True,True,Labor/Worker,Rural,TikTok,279,12,2339,Comedy,14,143,7,10,11,82,Afternoon,6,4,Boredom,Smartphone,Android,19:25:00,8,2,At work,Mobile Data
517,19,Male,58244,True,True,Waiting staff,Urban,TikTok,21,13,2234,Vlogs,28,8559,6,21,4,62,Afternoon,6,4,Habit,Smartphone,Android,19:25:00,8,2,At school,Mobile Data
519,40,Female,57437,True,True,Students,Rural,TikTok,41,6,7235,Gaming,10,6361,2,19,34,53,Morning,9,1,Boredom,Tablet,Windows,07:45:00,10,0,At home,Mobile Data
520,34,Male,97872,True,False,Students,Urban,TikTok,83,1,7973,Life Hacks,15,615,3,13,27,24,Afternoon,6,4,Boredom,Tablet,Windows,19:25:00,8,2,At work,Wi-Fi
521,43,Male,94878,True,True,Engineer,Rural,TikTok,180,6,6611,Vlogs,4,8062,7,12,10,56,Night,2,8,Entertainment,Smartphone,Android,23:30:00,4,6,At school,Mobile Data
524,43,Male,58392,True,False,Teacher,Rural,TikTok,109,15,9181,Jokes/Memes,3,6984,6,14,20,22,Evening,7,3,Entertainment,Smartphone,Android,15:55:00,9,1,At school,Mobile Data
525,27,Other,27461,False,True,Artist,Urban,TikTok,155,8,4484,Jokes/Memes,7,8890,8,4,29,68,Afternoon,6,4,Habit,Smartphone,iOS,19:25:00,8,2,At home,Mobile Data
528,58,Other,37514,False,False,Engineer,Rural,TikTok,194,6,1755,Trends,10,944,3,18,21,66,Evening,7,3,Habit,Smartphone,iOS,15:55:00,9,1,At work,Wi-Fi
533,46,Male,82493,True,False,Labor/Worker,Rural,TikTok,179,14,7401,Jokes/Memes,19,9751,2,16,12,28,Night,2,8,Entertainment,Smartphone,Windows,23:30:00,4,6,At work,Mobile Data
536,38,Male,37858,False,True,Manager,Rural,TikTok,91,6,7397,Life Hacks,20,8625,4,3,18,65,Night,2,8,Entertainment,Tablet,Android,23:30:00,4,6,At school,Mobile Data
541,41,Male,88670,True,False,Students,Urban,TikTok,84,7,6438,Trends,16,6047,4,4,49,10,Evening,7,3,Habit,Computer,Android,15:55:00,9,1,Commuting,Wi-Fi
549,40,Other,96708,True,False,Manager,Rural,TikTok,67,9,3219,Life Hacks,22,2994,3,19,33,69,Evening,7,3,Boredom,Smartphone,Android,15:55:00,9,1,At school,Mobile Data
551,54,Male,59332,True,True,driver,Rural,TikTok,205,10,4017,Vlogs,23,2010,8,24,39,64,Night,3,7,Procrastination,Tablet,Android,23:30:00,5,5,At school,Wi-Fi
552,29,Male,41312,False,True,Labor/Worker,Rural,TikTok,101,2,2838,ASMR,5,7377,4,16,23,49,Afternoon,6,4,Boredom,Tablet,iOS,19:25:00,8,2,At home,Wi-Fi
555,42,Male,60379,True,True,Students,Rural,TikTok,107,3,7310,Entertainment,1,4210,4,9,2,73,Afternoon,6,4,Boredom,Tablet,Android,19:25:00,8,2,At home,Mobile Data
557,58,Male,22011,False,True,Manager,Urban,TikTok,78,6,4429,Jokes/Memes,10,5768,8,10,29,70,Evening,7,3,Entertainment,Smartphone,iOS,15:55:00,9,1,At work,Mobile Data
558,47,Female,64014,True,False,Labor/Worker,Rural,TikTok,54,3,9612,Entertainment,8,7878,7,18,46,21,Evening,7,3,Habit,Smartphone,Android,15:55:00,9,1,Commuting,Mobile Data
562,39,Male,28767,False,False,Waiting staff,Rural,TikTok,298,10,9633,Gaming,27,5455,7,19,36,8,Night,3,7,Habit,Smartphone,Android,23:30:00,5,5,At home,Wi-Fi
566,29,Female,97487,True,False,driver,Rural,TikTok,123,18,5081,Comedy,17,1777,7,10,36,66,Night,3,7,Habit,Smartphone,Android,23:30:00,5,5,At school,Mobile Data
575,36,Female,27597,False,False,Cashier,Urban,TikTok,77,11,3771,Jokes/Memes,17,9429,3,12,40,14,Afternoon,4,6,Boredom,Smartphone,MacOS,19:25:00,6,4,At school,Mobile Data
576,64,Male,67093,True,True,Students,Rural,TikTok,34,7,4660,Pranks,28,2406,5,23,43,44,Night,1,9,Entertainment,Tablet,Android,23:30:00,3,7,At work,Mobile Data
580,29,Male,46417,False,True,Students,Rural,TikTok,172,11,599,Pranks,6,949,5,29,17,13,Evening,5,5,Entertainment,Smartphone,Windows,15:55:00,7,3,At work,Mobile Data
584,40,Female,22169,False,True,Teacher,Rural,TikTok,73,19,6392,Life Hacks,12,722,2,13,6,89,Night,1,9,Habit,Tablet,MacOS,23:30:00,3,7,At school,Wi-Fi
586,56,Female,91849,True,True,Labor/Worker,Rural,TikTok,56,4,67,Vlogs,13,3674,4,28,45,50,Morning,7,3,Entertainment,Smartphone,Android,07:45:00,9,1,At work,Mobile Data
587,62,Male,93851,True,False,Students,Urban,TikTok,139,12,8124,Gaming,27,4866,4,8,34,38,Night,1,9,Habit,Smartphone,iOS,23:30:00,3,7,At work,Mobile Data
588,59,Female,28036,False,True,Labor/Worker,Rural,TikTok,119,18,2751,Gaming,15,702,5,25,32,56,Evening,5,5,Entertainment,Tablet,MacOS,15:55:00,7,3,At work,Wi-Fi
589,56,Male,51778,True,False,Students,Rural,TikTok,78,1,8662,Comedy,22,2128,5,18,42,63,Evening,5,5,Habit,Smartphone,Android,15:55:00,7,3,At work,Wi-Fi
593,52,Other,86321,True,True,Cashier,Rural,TikTok,180,5,8124,ASMR,2,1149,3,18,20,77,Night,1,9,Entertainment,Tablet,Windows,23:30:00,3,7,At work,Mobile Data
596,60,Other,38800,False,False,Labor/Worker,Urban,TikTok,80,16,775,Entertainment,2,9675,1,28,26,55,Afternoon,4,6,Entertainment,Smartphone,Android,19:25:00,6,4,At home,Mobile Data
601,26,Female,34973,False,True,Students,Rural,TikTok,135,14,930,Jokes/Memes,10,5766,6,16,47,85,Morning,7,3,Entertainment,Tablet,Android,09:55:00,9,1,At home,Mobile Data
602,27,Male,91155,True,False,Cashier,Rural,TikTok,62,1,3013,Life Hacks,19,9756,9,2,12,86,Morning,7,3,Boredom,Computer,iOS,09:55:00,9,1,At home,Mobile Data
603,61,Male,79500,True,True,Students,Urban,TikTok,207,17,5025,Life Hacks,8,9692,9,18,1,53,Night,1,9,Habit,Smartphone,Android,22:15:00,3,7,At home,Mobile Data
611,26,Male,96449,True,True,Cashier,Rural,TikTok,113,10,1185,Life Hacks,25,9086,8,23,49,87,Evening,5,5,Boredom,Smartphone,iOS,16:25:00,7,3,At school,Mobile Data
613,19,Other,25498,False,True,Waiting staff,Rural,TikTok,53,3,6344,Pranks,17,6412,2,1,39,52,Morning,7,3,Entertainment,Smartphone,Android,09:55:00,9,1,At school,Wi-Fi
615,46,Male,70098,True,True,driver,Rural,TikTok,190,10,917,Trends,21,4120,2,3,45,23,Afternoon,4,6,Entertainment,Smartphone,Android,17:45:00,6,4,At home,Mobile Data
617,55,Male,29569,False,False,Students,Urban,TikTok,123,12,3575,Entertainment,12,4666,8,4,48,71,Night,1,9,Procrastination,Smartphone,Android,22:15:00,3,7,At school,Mobile Data
620,62,Male,20340,False,True,Waiting staff,Urban,TikTok,273,10,1242,Comedy,12,1849,1,23,37,49,Night,1,9,Entertainment,Tablet,Android,22:15:00,3,7,At home,Wi-Fi
625,42,Male,20358,False,False,Cashier,Rural,TikTok,284,17,1524,Gaming,20,7594,6,29,21,72,Night,1,9,Boredom,Tablet,iOS,22:15:00,3,7,At home,Mobile Data
629,23,Male,75778,True,False,Artist,Rural,TikTok,224,2,2691,ASMR,28,2389,9,6,31,37,Evening,5,5,Entertainment,Tablet,iOS,16:25:00,7,3,At home,Wi-Fi
633,56,Female,46762,False,False,Artist,Rural,TikTok,199,9,6250,Entertainment,8,7541,9,4,29,40,Morning,7,3,Entertainment,Smartphone,Android,09:55:00,9,1,At home,Mobile Data
634,44,Male,33283,False,True,Labor/Worker,Urban,TikTok,92,19,691,Gaming,10,815,4,13,42,97,Afternoon,4,6,Habit,Smartphone,Android,17:45:00,6,4,At school,Mobile Data
635,27,Male,83922,True,True,Labor/Worker,Rural,TikTok,179,4,8720,Jokes/Memes,8,6255,1,10,3,93,Afternoon,4,6,Entertainment,Smartphone,Android,17:45:00,6,4,At home,Mobile Data
640,62,Female,94965,True,False,driver,Rural,TikTok,238,9,5874,Trends,14,6989,1,23,21,9,Night,1,9,Habit,Smartphone,Windows,22:15:00,3,7,At work,Mobile Data
643,37,Male,97988,True,True,Engineer,Rural,TikTok,288,10,711,Gaming,25,6324,1,17,7,96,Evening,5,5,Habit,Smartphone,Windows,16:25:00,7,3,At school,Wi-Fi
644,45,Female,78342,True,False,Students,Rural,TikTok,144,11,3696,Trends,11,9395,9,2,17,51,Evening,5,5,Habit,Computer,Android,16:25:00,7,3,At home,Mobile Data
647,56,Male,55428,True,True,Labor/Worker,Rural,TikTok,81,6,5779,Jokes/Memes,21,3285,6,18,3,30,Afternoon,4,6,Entertainment,Tablet,Android,17:45:00,6,4,At school,Wi-Fi
651,45,Male,44842,False,True,Labor/Worker,Rural,TikTok,186,7,416,Life Hacks,23,3664,7,15,14,56,Night,1,9,Entertainment,Tablet,Android,22:15:00,3,7,Commuting,Mobile Data
654,55,Female,23630,False,False,Waiting staff,Urban,TikTok,31,16,4263,Jokes/Memes,2,4643,2,28,30,61,Night,1,9,Boredom,Tablet,Android,22:15:00,3,7,Commuting,Wi-Fi
656,61,Other,96021,True,True,Students,Rural,TikTok,170,19,9288,Pranks,19,131,3,25,7,47,Night,1,9,Boredom,Tablet,iOS,22:15:00,3,7,At school,Mobile Data
660,64,Male,46086,False,True,Labor/Worker,Rural,TikTok,27,5,993,Gaming,4,8221,6,11,35,57,Evening,5,5,Procrastination,Smartphone,Windows,16:25:00,7,3,At home,Mobile Data
661,38,Female,36859,False,False,Waiting staff,Rural,TikTok,251,17,9474,Vlogs,3,6147,6,19,47,38,Night,1,9,Habit,Tablet,Android,22:15:00,3,7,At work,Wi-Fi
667,52,Male,49689,False,False,Labor/Worker,Rural,TikTok,48,11,1757,Life Hacks,2,1607,9,10,29,65,Afternoon,4,6,Entertainment,Tablet,Windows,17:45:00,6,4,At work,Wi-Fi
676,18,Male,98518,True,True,Labor/Worker,Rural,TikTok,225,16,6884,Pranks,10,1361,8,20,18,89,Morning,7,3,Procrastination,Smartphone,MacOS,09:55:00,9,1,At work,Mobile Data
681,29,Other,22454,False,True,Manager,Urban,TikTok,195,7,4269,Life Hacks,25,8667,5,6,6,89,Night,1,9,Habit,Smartphone,Android,22:15:00,3,7,At home,Mobile Data
682,27,Female,40878,False,False,Labor/Worker,Rural,TikTok,79,10,4100,Life Hacks,22,9481,1,23,16,54,Evening,5,5,Habit,Computer,Windows,16:25:00,7,3,Commuting,Wi-Fi
684,33,Male,82154,True,False,Teacher,Rural,TikTok,255,10,1664,ASMR,7,1186,6,10,40,93,Morning,7,3,Boredom,Smartphone,Android,09:55:00,9,1,At work,Wi-Fi
697,54,Other,71971,True,True,Cashier,Urban,TikTok,192,9,545,Gaming,21,9210,3,14,30,7,Evening,5,5,Entertainment,Tablet,Android,16:25:00,7,3,At home,Wi-Fi
702,26,Male,28016,False,True,Students,Urban,TikTok,278,5,6619,Life Hacks,21,5989,7,14,32,4,Night,1,9,Boredom,Smartphone,Windows,22:15:00,3,7,At home,Wi-Fi
719,62,Female,42313,False,True,driver,Rural,TikTok,100,10,5153,Vlogs,10,1744,3,6,24,22,Evening,5,5,Boredom,Smartphone,Windows,16:25:00,7,3,At school,Mobile Data
727,38,Female,69847,True,True,Cashier,Rural,TikTok,217,7,1462,Trends,15,9717,7,25,32,12,Night,1,9,Habit,Computer,MacOS,22:15:00,3,7,At home,Wi-Fi
731,44,Female,97842,True,True,Engineer,Rural,TikTok,183,10,9911,Vlogs,10,4876,3,15,16,99,Evening,5,5,Boredom,Smartphone,Android,14:00:00,7,3,Commuting,Wi-Fi
740,45,Female,29764,False,True,driver,Rural,TikTok,267,1,953,ASMR,26,2049,1,25,12,66,Evening,3,7,Habit,Smartphone,iOS,14:00:00,5,5,Commuting,Mobile Data
742,22,Other,98471,True,True,driver,Rural,TikTok,224,1,5968,Entertainment,20,3030,9,17,28,72,Afternoon,3,7,Habit,Tablet,MacOS,17:00:00,5,5,At home,Mobile Data
747,40,Male,40131,False,False,Cashier,Urban,TikTok,38,16,2598,Entertainment,15,7202,3,10,8,9,Evening,6,4,Habit,Smartphone,iOS,14:00:00,8,2,At home,Wi-Fi
748,54,Female,95969,True,True,Engineer,Urban,TikTok,204,13,7830,Pranks,18,8266,2,11,40,21,Night,8,2,Boredom,Smartphone,Android,21:00:00,10,0,At work,Wi-Fi
749,54,Male,35038,False,False,Students,Rural,TikTok,265,11,8187,Pranks,1,3360,1,23,43,95,Morning,8,2,Procrastination,Smartphone,Windows,08:00:00,10,0,At school,Mobile Data
752,36,Male,41281,False,True,Cashier,Rural,TikTok,158,2,6685,Entertainment,29,328,9,18,10,14,Afternoon,8,2,Boredom,Computer,Android,17:00:00,10,0,At work,Mobile Data
755,31,Male,28605,False,False,Labor/Worker,Rural,TikTok,207,11,6840,Vlogs,8,4674,5,20,39,24,Morning,6,4,Entertainment,Smartphone,MacOS,08:00:00,8,2,At work,Wi-Fi
756,26,Male,21381,False,True,Waiting staff,Rural,TikTok,53,10,9989,Vlogs,6,4316,5,26,10,73,Morning,6,4,Boredom,Smartphone,iOS,08:00:00,8,2,At home,Mobile Data
758,18,Female,39810,False,True,Waiting staff,Urban,TikTok,26,17,7939,Gaming,7,9695,7,22,25,87,Evening,8,2,Boredom,Smartphone,Android,14:00:00,10,0,At home,Mobile Data
759,62,Female,44322,False,False,Teacher,Urban,TikTok,136,15,9955,Vlogs,18,5803,5,18,10,51,Morning,8,2,Entertainment,Smartphone,Android,08:00:00,10,0,Commuting,Mobile Data
770,43,Male,79766,True,False,Labor/Worker,Rural,TikTok,94,9,3245,Jokes/Memes,2,5265,9,15,17,57,Night,3,7,Boredom,Smartphone,Android,21:00:00,5,5,Commuting,Mobile Data
774,18,Female,83671,True,False,Students,Rural,TikTok,225,4,2115,Vlogs,7,8708,8,4,15,96,Afternoon,6,4,Habit,Computer,MacOS,17:00:00,8,2,At home,Mobile Data
779,34,Male,73117,True,True,Waiting staff,Rural,TikTok,124,10,5874,Jokes/Memes,14,7508,8,21,46,91,Night,8,2,Entertainment,Tablet,Android,21:00:00,10,0,At work,Wi-Fi
781,40,Female,43782,False,True,Artist,Rural,TikTok,40,11,5053,Jokes/Memes,1,590,1,2,26,19,Afternoon,6,4,Habit,Smartphone,Android,17:00:00,8,2,At work,Mobile Data
783,54,Male,87904,True,True,Labor/Worker,Rural,TikTok,139,6,1590,Pranks,12,9735,2,1,36,88,Night,8,2,Habit,Smartphone,MacOS,21:00:00,10,0,At home,Wi-Fi
786,19,Male,53204,True,True,driver,Rural,TikTok,236,2,4649,Pranks,15,2708,2,1,14,91,Evening,8,2,Entertainment,Tablet,Android,14:00:00,10,0,At home,Wi-Fi
793,35,Male,27190,False,False,Students,Urban,TikTok,264,18,1972,Jokes/Memes,24,1379,4,19,48,27,Evening,3,7,Habit,Smartphone,Android,14:00:00,5,5,At work,Mobile Data
800,41,Male,36237,False,True,driver,Rural,TikTok,234,5,1729,Life Hacks,22,3126,6,28,25,53,Evening,6,4,Boredom,Smartphone,Android,14:00:00,8,2,At home,Mobile Data
803,59,Female,66101,True,True,Waiting staff,Rural,TikTok,22,15,6093,Entertainment,16,8875,6,12,26,7,Night,3,7,Entertainment,Smartphone,MacOS,21:00:00,5,5,At home,Mobile Data
807,21,Female,91121,True,True,Engineer,Rural,TikTok,287,18,6011,Jokes/Memes,6,3280,9,6,20,16,Afternoon,8,2,Entertainment,Tablet,Android,17:00:00,10,0,Commuting,Mobile Data
809,34,Male,32237,False,True,Artist,Rural,TikTok,194,10,4103,Life Hacks,1,2786,4,10,29,5,Evening,3,7,Procrastination,Computer,iOS,14:00:00,5,5,At work,Mobile Data
815,51,Female,66154,True,True,Waiting staff,Urban,TikTok,209,4,6035,Jokes/Memes,6,170,4,7,39,23,Evening,8,2,Habit,Smartphone,Android,14:00:00,10,0,At home,Mobile Data
818,30,Male,68688,True,False,Labor/Worker,Urban,TikTok,25,4,3149,Jokes/Memes,7,3897,6,12,37,25,Afternoon,6,4,Entertainment,Smartphone,Android,17:00:00,8,2,At school,Mobile Data
823,40,Male,88703,True,True,Labor/Worker,Rural,TikTok,263,19,210,Gaming,21,9283,7,8,26,22,Night,3,7,Entertainment,Smartphone,Android,21:00:00,5,5,At work,Mobile Data
824,33,Female,64757,True,True,Waiting staff,Urban,TikTok,225,19,9080,Gaming,17,2837,6,1,20,72,Afternoon,3,7,Habit,Tablet,Android,17:00:00,5,5,At school,Mobile Data
828,25,Other,82551,True,True,Engineer,Urban,TikTok,86,16,8607,Pranks,2,6721,8,1,29,68,Evening,3,7,Boredom,Smartphone,iOS,14:00:00,5,5,At school,Mobile Data
835,20,Other,61627,True,False,Labor/Worker,Rural,TikTok,155,4,2788,Trends,5,1032,2,1,30,93,Evening,6,4,Entertainment,Tablet,Android,14:00:00,8,2,Commuting,Wi-Fi
836,44,Male,39008,False,True,Engineer,Rural,TikTok,272,15,2211,Entertainment,19,6339,7,23,21,87,Night,3,7,Habit,Smartphone,Android,21:00:00,5,5,At home,Mobile Data
837,46,Female,91274,True,False,Waiting staff,Rural,TikTok,13,13,9231,Gaming,10,2940,3,8,44,97,Morning,3,7,Boredom,Tablet,Android,08:00:00,5,5,At home,Mobile Data
839,36,Other,73384,True,False,Students,Rural,TikTok,69,2,6339,Life Hacks,25,3132,9,2,49,47,Night,3,7,Habit,Tablet,Android,21:00:00,5,5,At school,Mobile Data
841,22,Male,25571,False,False,Manager,Urban,TikTok,236,9,359,Jokes/Memes,10,4942,6,17,22,54,Evening,3,7,Boredom,Tablet,iOS,14:00:00,5,5,Commuting,Wi-Fi
842,35,Female,36209,False,True,Students,Rural,TikTok,38,13,850,Jokes/Memes,5,6961,6,7,10,44,Morning,3,7,Entertainment,Smartphone,Windows,08:00:00,5,5,At home,Mobile Data
844,59,Male,22224,False,True,Students,Rural,TikTok,254,9,4523,Life Hacks,22,633,9,28,15,7,Evening,3,7,Habit,Tablet,Windows,14:00:00,5,5,At home,Mobile Data
852,43,Male,32180,False,False,Labor/Worker,Rural,TikTok,195,8,5267,Gaming,14,8097,3,18,34,77,Morning,8,2,Boredom,Tablet,Android,08:00:00,10,0,At home,Mobile Data
857,62,Other,95357,True,True,Labor/Worker,Rural,TikTok,190,10,6113,Jokes/Memes,28,8824,7,6,28,65,Night,8,2,Procrastination,Smartphone,Android,21:00:00,10,0,At home,Mobile Data
866,34,Other,42005,False,True,Students,Rural,TikTok,26,13,8709,Vlogs,22,6116,1,26,29,73,Evening,3,7,Entertainment,Smartphone,iOS,14:00:00,5,5,At home,Wi-Fi
871,52,Male,87055,True,False,Teacher,Rural,TikTok,43,11,3524,Vlogs,21,63,3,2,28,57,Night,3,7,Entertainment,Smartphone,iOS,21:00:00,5,5,At home,Mobile Data
881,19,Other,49320,False,False,Waiting staff,Rural,TikTok,281,18,9532,Life Hacks,12,6055,3,15,6,10,Night,3,7,Entertainment,Smartphone,iOS,21:00:00,5,5,At work,Wi-Fi
883,43,Male,72389,True,False,Engineer,Urban,TikTok,25,8,8010,Trends,18,1954,1,24,34,90,Afternoon,8,2,Entertainment,Smartphone,Android,17:00:00,10,0,At school,Mobile Data
886,20,Other,47747,False,True,Waiting staff,Rural,TikTok,30,3,7386,Life Hacks,11,9232,3,23,21,20,Afternoon,3,7,Procrastination,Smartphone,Android,17:00:00,5,5,At school,Mobile Data
888,40,Other,77505,True,True,Teacher,Rural,TikTok,237,17,5485,Jokes/Memes,27,961,6,4,18,9,Evening,6,4,Entertainment,Smartphone,Android,14:00:00,8,2,At home,Mobile Data
889,63,Female,38135,False,True,Labor/Worker,Urban,TikTok,282,4,3773,Trends,11,6827,8,21,21,72,Evening,3,7,Entertainment,Smartphone,Android,14:00:00,5,5,At work,Mobile Data
891,64,Female,43554,False,True,Waiting staff,Rural,TikTok,143,14,4019,Jokes/Memes,15,8566,1,3,4,98,Afternoon,3,7,Boredom,Tablet,Android,17:00:00,5,5,At home,Wi-Fi
903,56,Other,46672,False,True,driver,Rural,TikTok,235,12,6251,ASMR,16,7897,5,14,1,95,Morning,6,4,Habit,Smartphone,iOS,08:00:00,8,2,At home,Wi-Fi
905,43,Male,30293,False,True,Students,Rural,TikTok,35,6,8968,Life Hacks,26,7161,7,15,17,62,Afternoon,6,4,Entertainment,Computer,Android,17:00:00,8,2,At school,Mobile Data
916,62,Female,28016,False,True,Labor/Worker,Rural,TikTok,241,9,8216,Trends,27,4549,8,14,45,88,Evening,8,2,Entertainment,Computer,iOS,14:00:00,10,0,At home,Wi-Fi
920,64,Female,71813,True,True,Labor/Worker,Rural,TikTok,200,10,1961,Life Hacks,20,4889,5,6,33,1,Evening,8,2,Habit,Tablet,Windows,14:00:00,10,0,At school,Wi-Fi
922,51,Male,74131,True,True,Waiting staff,Rural,TikTok,196,7,4889,Pranks,9,8212,3,25,9,28,Afternoon,9,1,Boredom,Tablet,iOS,17:45:00,10,0,At home,Mobile Data
923,64,Female,44087,False,False,Students,Rural,TikTok,297,19,4980,Jokes/Memes,8,1399,3,6,1,20,Evening,9,1,Entertainment,Smartphone,MacOS,16:25:00,10,0,At home,Wi-Fi
924,25,Female,32828,False,True,Waiting staff,Rural,TikTok,125,19,1213,Jokes/Memes,14,3201,5,3,16,48,Evening,9,1,Habit,Computer,Windows,16:25:00,10,0,At home,Mobile Data
938,39,Female,52245,True,False,Students,Urban,TikTok,110,13,7856,Gaming,16,8153,9,1,25,12,Evening,3,7,Boredom,Smartphone,Android,16:25:00,5,5,Commuting,Mobile Data
939,38,Male,64724,True,True,driver,Urban,TikTok,174,15,1293,Jokes/Memes,27,973,7,4,16,81,Afternoon,3,7,Habit,Computer,Android,17:45:00,5,5,At home,Mobile Data
942,21,Male,50116,True,False,Labor/Worker,Rural,TikTok,116,2,2759,Pranks,8,2288,4,12,18,34,Afternoon,8,2,Boredom,Tablet,Windows,17:45:00,10,0,At work,Mobile Data
944,28,Female,50431,True,False,Labor/Worker,Rural,TikTok,93,11,8626,ASMR,9,1218,4,12,15,61,Night,8,2,Entertainment,Smartphone,Windows,22:15:00,10,0,At school,Mobile Data
949,20,Male,89561,True,True,Manager,Rural,TikTok,288,14,4183,Gaming,23,4098,7,16,15,36,Evening,8,2,Boredom,Smartphone,Android,16:25:00,10,0,At school,Mobile Data
950,48,Male,71955,True,True,Cashier,Rural,TikTok,68,16,6974,Life Hacks,8,2738,9,13,42,79,Evening,3,7,Entertainment,Smartphone,iOS,16:25:00,5,5,At home,Wi-Fi
951,57,Male,81240,True,True,Artist,Rural,TikTok,99,17,438,Pranks,24,7619,6,5,46,19,Night,8,2,Boredom,Tablet,MacOS,22:15:00,10,0,At work,Mobile Data
952,54,Male,40093,False,True,driver,Rural,TikTok,203,11,833,Pranks,14,1842,3,24,34,42,Night,9,1,Habit,Smartphone,iOS,22:15:00,10,0,At home,Wi-Fi
963,23,Other,40936,False,False,Students,Urban,TikTok,87,7,4234,Trends,12,3994,4,21,23,63,Afternoon,8,2,Habit,Tablet,Android,17:45:00,10,0,At school,Wi-Fi
965,55,Female,47606,False,False,Students,Rural,TikTok,290,10,8008,Entertainment,25,45,3,9,9,82,Afternoon,3,7,Boredom,Smartphone,iOS,17:45:00,5,5,At home,Mobile Data
971,62,Female,65671,True,True,Students,Rural,TikTok,95,19,9256,Gaming,6,2696,9,1,24,18,Night,9,1,Entertainment,Smartphone,MacOS,22:15:00,10,0,At home,Wi-Fi
973,22,Female,51131,True,True,driver,Rural,TikTok,197,1,5783,Jokes/Memes,17,2663,2,2,33,57,Night,8,2,Entertainment,Smartphone,iOS,22:15:00,10,0,At home,Mobile Data
978,37,Male,41607,False,False,driver,Rural,TikTok,18,5,769,Pranks,25,4948,5,6,9,93,Evening,3,7,Procrastination,Smartphone,Windows,16:25:00,5,5,At home,Mobile Data
983,18,Female,98257,True,True,Students,Urban,TikTok,252,15,4356,Life Hacks,13,3597,1,26,14,10,Afternoon,6,4,Boredom,Smartphone,Android,17:45:00,8,2,At home,Mobile Data
986,55,Female,69429,True,False,Students,Rural,TikTok,104,6,1332,Trends,2,8135,9,10,3,87,Night,3,7,Boredom,Tablet,Android,22:15:00,5,5,Commuting,Mobile Data
989,53,Male,27659,False,True,Labor/Worker,Urban,TikTok,223,18,8262,Vlogs,18,1787,4,6,32,88,Morning,6,4,Habit,Smartphone,Android,09:55:00,8,2,At school,Mobile Data
994,23,Female,75751,True,True,Students,Urban,TikTok,246,10,5264,ASMR,8,773,3,5,26,89,Night,8,2,Habit,Computer,Android,22:15:00,10,0,Commuting,Mobile Data
996,22,Male,74254,True,True,Students,Rural,TikTok,144,7,6168,Gaming,1,5179,6,17,17,47,Afternoon,9,1,Procrastination,Smartphone,iOS,17:45:00,10,0,At work,Mobile Data
998,27,Male,94218,True,True,Waiting staff,Rural,TikTok,165,1,2893,Pranks,12,9290,3,9,28,44,Night,9,1,Procrastination,Smartphone,iOS,22:15:00,10,0,Commuting,Mobile Data
